[18:04:23]  COMMAND	POST 	 "/wd/hub/session"
[18:04:23]  DATA		{"desiredCapabilities":{"javascriptEnabled":true,"locationContextEnabled":true,"handlesAlerts":true,"rotatable":true,"browserName":"firefox","loggingPrefs":{"browser":"ALL","driver":"ALL"},"requestOrigins":{"url":"http://webdriver.io","version":"4.10.0","name":"webdriverio"}}}
[18:04:28]  INFO	SET SESSION ID 5013c652-8e93-432b-9561-fd831a8c6c63
[18:04:28]  RESULT		{"moz:profile":"/tmp/rust_mozprofile.iAtbRHKxXUQU","rotatable":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"pageLoadStrategy":"normal","moz:headless":false,"moz:accessibilityChecks":false,"acceptInsecureCerts":false,"browserVersion":"57.0.4","platformVersion":"4.13.0-26-generic","moz:processID":15651,"browserName":"firefox","platformName":"linux","moz:webdriverClick":false}
[18:04:28]  COMMAND	POST 	 "/wd/hub/session/44ca354e-541b-4da4-8c72-9b6dd9c0e7e1/url"
[18:04:28]  DATA		{"url":"https://www.npmjs.com/"}
[18:04:34]  RESULT		{}
[18:04:34]  COMMAND	POST 	 "/wd/hub/session/44ca354e-541b-4da4-8c72-9b6dd9c0e7e1/element"
[18:04:34]  DATA		{"using":"id","value":"nav-features-link"}
[18:04:34]  RESULT		{"element-6066-11e4-a52e-4f735466cecf":"49c94bd7-385f-4fbc-b7d8-8b72ae6f0635"}
[18:04:34]  COMMAND	POST 	 "/wd/hub/session/a27b515c-d106-408a-901a-b446409d0086/element/49c94bd7-385f-4fbc-b7d8-8b72ae6f0635/click"
[18:04:34]  DATA		{}
[18:04:37]  RESULT		{}
[18:04:37]  COMMAND	POST 	 "/wd/hub/session/44ca354e-541b-4da4-8c72-9b6dd9c0e7e1/url"
[18:04:37]  DATA		{"url":"https://www.npmjs.com/"}
[18:04:40]  RESULT		{}
[18:04:40]  COMMAND	POST 	 "/wd/hub/session/44ca354e-541b-4da4-8c72-9b6dd9c0e7e1/url"
[18:04:40]  DATA		{"url":"https://www.npmjs.com/"}
[18:04:44]  RESULT		{}
[18:04:44]  COMMAND	POST 	 "/wd/hub/session/44ca354e-541b-4da4-8c72-9b6dd9c0e7e1/url"
[18:04:44]  DATA		{"url":"https://www.npmjs.com/"}
[18:04:47]  RESULT		{}
[18:04:47]  COMMAND	DELETE 	 "/wd/hub/session/44ca354e-541b-4da4-8c72-9b6dd9c0e7e1"
[18:04:47]  DATA		{}
[18:04:47]  RESULT		{}
